count,DP1 Value,DP1 Running Time,DP2 Value,DP2 Running Time,Greedy Value,Greedy Running Time,FPTAS Value,FPTAS Running Time
1,3323,35.946 ms,3323,90.395 ms,3362,2.689 ms,3120,10.011 ms
2,43955,70.253 ms,43977,791.749 ms,44169,1.227 ms,43206,133.081 ms
3,7738,28.843 ms,7662,99.25 ms,7738,1.195 ms,7511,59.071 ms
4,62487,76.583 ms,62398,1561.111 ms,62818,2.718 ms,62094,580.898 ms
5,5426,76.973 ms,5401,93.126 ms,5445,1.971 ms,5358,274.792 ms
6,11221,0.79 ms,11221,87.052 ms,11221,1.031 ms,11243,7.512 ms
7,6849,52.987 ms,6850,86.687 ms,6934,1.082 ms,6730,69.312 ms
8,4505,1.008 ms,4505,25.588 ms,4645,1.093 ms,4483,81.577 ms
9,34221,273.188 ms,34221,662.157 ms,34319,1.523 ms,33919,186.034 ms
10,6243,3.062 ms,6128,13.945 ms,6479,0.388 ms,6087,1.912 ms
11,1441,0.082 ms,1441,20.941 ms,1441,0.406 ms,1016,2.834 ms
12,957,0.09 ms,957,241.364 ms,957,2.922 ms,946,496.743 ms
13,41992,88.507 ms,42036,585.088 ms,42101,2.524 ms,41533,331.577 ms
14,29926,4.015 ms,30032,285.313 ms,30142,1.531 ms,29937,77.502 ms
15,1967,5.205 ms,1967,82.178 ms,1966,1.681 ms,1926,239.651 ms
16,5897,10.512 ms,5897,55.776 ms,5897,0.479 ms,5613,19.172 ms
17,19719,38.871 ms,19719,119.837 ms,19770,0.473 ms,19270,15.688 ms
18,7291,26.611 ms,7311,62.876 ms,7291,0.706 ms,7139,54.536 ms
19,5567,5.164 ms,5536,43.007 ms,5567,0.397 ms,5377,20.318 ms
20,15786,15.366 ms,15930,443.887 ms,15758,1.122 ms,15622,192.236 ms
21,5644,1.614 ms,5370,179.487 ms,5412,0.26 ms,4752,24.039 ms
22,2514,1.045 ms,2588,22.87 ms,2587,0.292 ms,2366,7.567 ms
23,30633,22.16 ms,31239,1615.929 ms,31231,0.51 ms,30790,662.487 ms
24,32043,8.048 ms,31556,734.432 ms,31986,0.499 ms,31467,451.483 ms
25,1384,0.105 ms,1183,2.867 ms,1352,0.186 ms,1310,0.422 ms
26,5215,4.448 ms,5215,28.784 ms,5348,0.314 ms,5185,20.83 ms
27,1824,85.489 ms,1827,11.69 ms,1825,0.637 ms,1806,82.516 ms
28,1223,0.175 ms,1223,6.969 ms,1161,0.134 ms,1047,1.17 ms
29,63277,154.326 ms,63224,1305.021 ms,63552,0.541 ms,62989,621.526 ms
30,6064,4.235 ms,6064,14.28 ms,6410,0.209 ms,5952,2.115 ms
31,0,0.068 ms,NA,NA,0,0.077 ms,NA,NA
32,54757,123.523 ms,54710,873.333 ms,55371,0.814 ms,54928,293.64 ms
33,44507,363.579 ms,44496,712.289 ms,44908,0.52 ms,44555,638.211 ms
34,2229,0.488 ms,2102,33.304 ms,2140,0.186 ms,1841,7.129 ms
35,4803,0.447 ms,4584,31.605 ms,4803,0.143 ms,4447,10.494 ms
36,54945,73.196 ms,54517,839.626 ms,54901,0.529 ms,53901,239.213 ms
37,15489,1.816 ms,15428,96.779 ms,15846,0.226 ms,15261,11.844 ms
38,48727,292.711 ms,48727,968.669 ms,49052,0.585 ms,48789,685.639 ms
39,271,0.062 ms,0,24.872 ms,271,0.133 ms,357,2.697 ms
40,10026,25.366 ms,10029,67.427 ms,10163,0.789 ms,9834,27.895 ms
41,10138,5.396 ms,10042,64.922 ms,10219,0.249 ms,9636,13.674 ms
42,24980,48.331 ms,24856,268.404 ms,24955,0.354 ms,24739,94.66 ms
43,5187,1.126 ms,4984,18.438 ms,5207,0.195 ms,4943,1.748 ms
44,43903,2.718 ms,43596,1413.845 ms,43893,0.882 ms,43221,548.929 ms
45,21540,0.313 ms,21788,177.665 ms,21518,1.415 ms,20952,49.004 ms
46,39261,68.171 ms,39272,621.213 ms,39345,0.474 ms,39028,532.928 ms
47,9369,109.008 ms,9369,176.876 ms,9428,0.417 ms,9329,605.097 ms
48,9340,1.952 ms,9137,86.672 ms,9340,0.194 ms,8432,7.877 ms
49,76409,395.499 ms,76428,1993.667 ms,76628,0.394 ms,75853,700.319 ms
50,0,0.044 ms,NA,NA,0,0.06 ms,NA,NA
51,34666,52.995 ms,34666,599.204 ms,34834,0.492 ms,34481,377.71 ms
52,35630,48.679 ms,35102,675.661 ms,35472,0.267 ms,34834,179.628 ms
53,26981,5.297 ms,26888,214.471 ms,26973,0.303 ms,26330,59.742 ms
54,49336,153.282 ms,48985,1082.074 ms,49278,0.738 ms,48754,597.62 ms
55,6760,0.906 ms,6588,74.753 ms,6668,0.498 ms,6614,14.575 ms
56,11514,9.641 ms,11478,85.079 ms,11467,0.203 ms,11092,14.507 ms
57,11899,2.521 ms,11761,87.841 ms,11792,0.093 ms,11330,6.15 ms
58,5473,10.9 ms,5382,84.136 ms,5442,0.156 ms,5317,81.904 ms
59,16288,4.191 ms,16126,629.254 ms,16288,0.323 ms,15984,243.432 ms
60,10650,24.013 ms,10727,129.334 ms,10895,0.192 ms,10601,74.072 ms
61,2128,1.699 ms,2082,15.444 ms,2128,0.2 ms,2077,7.928 ms
62,12821,54.883 ms,12813,108.211 ms,12980,0.223 ms,12717,78.649 ms
63,7622,73.887 ms,7594,164.796 ms,7616,0.413 ms,7559,386.317 ms
64,17802,67.318 ms,17871,312.344 ms,17945,0.267 ms,17710,310.83 ms
65,50019,47.902 ms,49372,1036.759 ms,49982,0.383 ms,49260,473.346 ms
66,1500,3.334 ms,1470,9.12 ms,1518,0.179 ms,1486,7.994 ms
67,10981,6.827 ms,10461,49.267 ms,10981,0.179 ms,10358,4.42 ms
68,60840,58.363 ms,60563,1057.832 ms,60958,0.877 ms,60227,443.975 ms
69,1178,2.592 ms,1145,4.461 ms,1188,0.106 ms,1096,2.954 ms
70,2198,5.235 ms,2184,15.894 ms,2189,0.125 ms,2076,20.723 ms
71,21941,16.704 ms,21933,195.046 ms,22334,0.148 ms,21548,27.741 ms
72,38697,5.366 ms,38365,1087.805 ms,38936,0.304 ms,38309,331.293 ms
73,9640,11.745 ms,9628,89.498 ms,9721,0.25 ms,9456,62.508 ms
74,37852,21.89 ms,37945,319.51 ms,38109,0.337 ms,37533,88.744 ms
75,346,0.067 ms,346,0.054 ms,346,0.055 ms,0,0.046 ms
76,2274,58.925 ms,2272,27.38 ms,2290,0.289 ms,2254,167.563 ms
77,5600,0.704 ms,5600,5.465 ms,5600,0.101 ms,4775,0.339 ms
78,72,0.131 ms,45,0.109 ms,83,0.098 ms,96,0.091 ms
79,5026,3.899 ms,4983,84.952 ms,5004,0.34 ms,4831,74.458 ms
80,80483,197.508 ms,80517,1608.917 ms,81269,0.408 ms,80214,681.365 ms
81,46284,110.63 ms,46145,855.839 ms,46331,0.914 ms,45640,343.64 ms
82,6950,2.905 ms,6635,24.466 ms,7281,0.158 ms,6625,1.195 ms
83,18281,138.149 ms,18156,372.842 ms,18281,0.486 ms,18030,300.428 ms
84,234,0.804 ms,234,12.441 ms,234,0.152 ms,205,70.889 ms
85,81359,307.718 ms,81345,1536.531 ms,81426,0.276 ms,80326,481.591 ms
86,6048,30.587 ms,6073,216.288 ms,6060,0.331 ms,5984,546.224 ms
87,16636,5.087 ms,16747,535.996 ms,16832,0.186 ms,16490,186.072 ms
88,15600,7.026 ms,15043,479.212 ms,15600,0.253 ms,14824,136.978 ms
89,3446,0.248 ms,3350,233.862 ms,3446,0.278 ms,3253,276.465 ms
90,11296,0.436 ms,11111,183.55 ms,11255,0.179 ms,10888,82.387 ms
91,16324,3.493 ms,16337,135.198 ms,16566,0.158 ms,16251,59.472 ms
92,23659,9.231 ms,23525,228.275 ms,23973,1.535 ms,23423,42.366 ms
93,10738,11.983 ms,10832,77.959 ms,10978,0.215 ms,10701,22.377 ms
94,1542,0.112 ms,1542,0.842 ms,2263,0.171 ms,1502,0.106 ms
95,5979,0.081 ms,5979,1030.192 ms,5979,0.318 ms,5494,341.053 ms
96,2292,2.513 ms,2267,13.231 ms,2312,0.215 ms,2221,9.163 ms
97,38985,203.119 ms,39087,724.654 ms,39243,0.262 ms,38986,506.703 ms
98,57805,19.624 ms,57746,921.19 ms,57858,0.288 ms,57111,366.861 ms
99,9065,1.103 ms,9065,40.147 ms,9010,0.184 ms,8542,2.467 ms
100,3796,3.953 ms,3811,35.765 ms,3872,0.872 ms,3764,19.563 ms
